name,position,projected_points,uncertainty,player_id,code,team_name,status,prior_total_points,prior_minutes,fixture_difficulty_next6,projection_method
Erling Haaland,FWD,213.400,32.010,411,223094,Man City,a,239.000,2953.000,3.000,prior-season points with positional shrinkage
Bruno Borges Fernandes,MID,205.964,30.895,426,141746,Man Utd,a,235.000,3065.000,2.833,prior-season points with positional shrinkage
Gabriel dos Santos Magalhães,DEF,186.200,27.930,4,226597,Arsenal,a,209.000,2750.000,3.000,prior-season points with positional shrinkage
Antoine Semenyo,MID,178.200,26.730,397,437730,Man City,a,202.000,3200.000,3.000,prior-season points with positional shrinkage
Morgan Gibbs-White,MID,167.000,25.050,480,222531,Nott'm Forest,a,188.000,3101.000,3.000,prior-season points with positional shrinkage
Igor Thiago Nascimento Rodrigues,FWD,165.887,24.883,106,502500,Brentford,a,181.000,3282.000,3.167,prior-season points with positional shrinkage
João Pedro Junqueira de Jesus,FWD,163.800,24.570,165,475168,Chelsea,a,177.000,2658.000,3.000,prior-season points with positional shrinkage
Declan Rice,MID,163.800,24.570,13,204480,Arsenal,a,184.000,3093.000,3.000,prior-season points with positional shrinkage
Marc Guéhi,DEF,162.200,24.330,388,209036,Man City,a,179.000,3150.000,3.000,prior-season points with positional shrinkage
Elliot Anderson,MID,160.600,24.090,481,215379,Man City,a,180.000,3332.000,3.000,prior-season points with positional shrinkage
Virgil van Dijk,DEF,160.060,24.009,356,97032,Liverpool,a,175.000,3420.000,2.833,prior-season points with positional shrinkage
Marcos Senesi Barón,DEF,159.000,23.850,498,221466,Spurs,a,175.000,3288.000,3.000,prior-season points with positional shrinkage
James Tarkowski,DEF,156.033,23.405,229,17761,Everton,a,170.000,3330.000,2.833,prior-season points with positional shrinkage
Ollie Watkins,FWD,155.800,23.370,55,178301,Aston Villa,a,167.000,2833.000,3.000,prior-season points with positional shrinkage
David Raya Martín,GK,153.600,23.040,1,154561,Arsenal,a,162.000,3330.000,3.000,prior-season points with positional shrinkage
Morgan Rogers,MID,151.800,22.770,40,244850,Chelsea,a,169.000,3280.000,3.000,prior-season points with positional shrinkage
Harry Wilson,MID,149.993,22.499,260,153682,Leeds,a,168.000,2674.000,3.167,prior-season points with positional shrinkage
Nico O'Reilly,DEF,147.000,22.050,387,472769,Man City,a,160.000,2643.000,3.000,prior-season points with positional shrinkage
Adrien Truffert,DEF,146.973,22.046,61,494521,Bournemouth,a,165.000,3378.000,3.667,prior-season points with positional shrinkage
Dominik Szoboszlai,MID,145.564,21.835,368,424876,Liverpool,a,160.000,3232.000,2.833,prior-season points with positional shrinkage
Bukayo Saka,MID,142.200,21.330,12,223340,Arsenal,a,157.000,2218.000,3.000,prior-season points with positional shrinkage
Enzo Fernández,MID,142.200,21.330,155,448047,Chelsea,a,157.000,3114.000,3.000,prior-season points with positional shrinkage
Matheus Nunes,DEF,142.200,21.330,389,465351,Man City,a,154.000,2861.000,3.000,prior-season points with positional shrinkage
Maxence Lacroix,DEF,142.200,21.330,200,437499,Chelsea,a,154.000,3085.000,3.000,prior-season points with positional shrinkage
Bruno Guimarães Rodriguez Moura,MID,140.732,21.110,452,208706,Newcastle,a,154.000,2456.000,2.833,prior-season points with positional shrinkage
Nordi Mukiele,DEF,139.800,20.970,533,200834,Sunderland,a,151.000,2784.000,3.000,prior-season points with positional shrinkage
Kiernan Dewsbury-Hall,MID,138.316,20.747,236,215413,Everton,a,151.000,2629.000,2.833,prior-season points with positional shrinkage
Caoimhín Kelleher,GK,137.477,20.622,82,200720,Brentford,a,143.000,3330.000,3.167,prior-season points with positional shrinkage
Jan Paul van Hecke,DEF,137.400,20.610,112,469142,Spurs,a,148.000,3210.000,3.000,prior-season points with positional shrinkage
Bryan Mbeumo,MID,135.900,20.385,427,446008,Man Utd,a,148.000,2611.000,2.833,prior-season points with positional shrinkage
Dominic Calvert-Lewin,FWD,134.895,20.234,346,177815,Leeds,a,142.000,2721.000,3.167,prior-season points with positional shrinkage
Enzo Le Fée,MID,134.200,20.130,542,484420,Sunderland,a,147.000,2930.000,3.000,prior-season points with positional shrinkage
Jordan Pickford,GK,132.880,19.932,226,111234,Everton,a,135.000,3420.000,2.833,prior-season points with positional shrinkage
Robin Roefs,GK,132.800,19.920,529,498016,Sunderland,a,136.000,3150.000,3.000,prior-season points with positional shrinkage
Ryan Gravenberch,MID,132.679,19.902,371,441266,Liverpool,a,144.000,2991.000,2.833,prior-season points with positional shrinkage
Gianluigi Donnarumma,GK,132.000,19.800,384,204936,Man City,a,135.000,3060.000,3.000,prior-season points with positional shrinkage
Matheus Santos Carneiro da Cunha,MID,131.873,19.781,428,430871,Man Utd,a,143.000,2493.000,2.833,prior-season points with positional shrinkage
Dean Henderson,GK,128.800,19.320,198,172649,Crystal Palace,a,131.000,3330.000,3.000,prior-season points with positional shrinkage
Bart Verbruggen,GK,128.000,19.200,109,489639,Brighton,a,130.000,3420.000,3.000,prior-season points with positional shrinkage
Trevoh Chalobah,DEF,127.800,19.170,143,180736,Chelsea,a,136.000,2780.000,3.000,prior-season points with positional shrinkage
Daniel Muñoz Mejía,DEF,127.800,19.170,201,247348,Crystal Palace,a,136.000,2400.000,3.000,prior-season points with positional shrinkage
James Garner,MID,127.388,29.299,239,232928,Everton,i,159.000,3413.000,2.833,prior-season points with positional shrinkage
Tyrick Mitchell,DEF,127.000,19.050,204,244723,Crystal Palace,a,135.000,3253.000,3.000,prior-season points with positional shrinkage
Anton Stach,MID,125.359,18.804,335,466525,Leeds,a,137.000,2369.000,3.167,prior-season points with positional shrinkage
Michael Keane,DEF,124.625,18.694,231,106611,Everton,a,131.000,2588.000,2.833,prior-season points with positional shrinkage
Viktor Gyökeres,FWD,124.600,18.690,25,224117,Arsenal,a,128.000,2217.000,3.000,prior-season points with positional shrinkage
Rayan Cherki,MID,124.600,18.690,399,466052,Man City,a,135.000,1772.000,3.000,prior-season points with positional shrinkage
Mateus Fernandes,MID,124.600,18.690,525,551226,Spurs,a,135.000,3017.000,3.000,prior-season points with positional shrinkage
Dango Ouattara,MID,124.564,18.685,95,533463,Brentford,a,136.000,2271.000,3.167,prior-season points with positional shrinkage
Danny Welbeck,FWD,123.000,18.450,136,50175,Brighton,a,126.000,2249.000,3.000,prior-season points with positional shrinkage
Martín Zubimendi Ibáñez,MID,123.000,18.450,19,481655,Arsenal,a,133.000,2991.000,3.000,prior-season points with positional shrinkage
Ethan Ampadu,MID,122.975,18.446,338,199598,Leeds,a,134.000,3119.000,3.167,prior-season points with positional shrinkage
Marcus Tavernier,MID,122.835,18.425,68,201658,Bournemouth,a,137.000,2732.000,3.667,prior-season points with positional shrinkage
Cody Gakpo,MID,122.209,18.331,367,243298,Liverpool,a,131.000,2736.000,2.833,prior-season points with positional shrinkage
Alex Scott,MID,122.056,18.308,69,503139,Bournemouth,a,136.000,2848.000,3.667,prior-season points with positional shrinkage
Jurriën Timber,DEF,121.616,27.972,5,445122,Arsenal,i,149.000,2452.000,3.000,prior-season points with positional shrinkage
Phil Foden,MID,121.400,18.210,398,209244,Man City,a,131.000,2078.000,3.000,prior-season points with positional shrinkage
Chris Richards,DEF,121.400,18.210,202,427623,Crystal Palace,a,128.000,2825.000,3.000,prior-season points with positional shrinkage
Neco Williams,DEF,121.400,18.210,469,215136,Nott'm Forest,a,128.000,3203.000,3.000,prior-season points with positional shrinkage
