overall_rank,name,position,projected_points,uncertainty,player_id,code,team_name,status,news,prior_season,prior_points,prior_minutes,expected_minutes_season,projected_points_next_6,reliability,fixture_difficulty_next6,replacement_points,value_over_replacement,projection_method,promoted_team,new_to_history,manual_review
1,Erling Haaland,FWD,203.6123,32.5780,411,223094,Man City,a,,2025-26,239.0000,2953.0000,2731.7000,32.1493,1.0000,3.0000,102.1080,101.5043,2025/26 empirical-Bayes rate and minutes,False,False,False
2,Bruno Borges Fernandes,MID,196.8422,31.4948,426,141746,Man Utd,a,,2025-26,235.0000,3065.0000,2811.6000,31.2616,1.0000,2.8333,125.4383,71.4039,2025/26 empirical-Bayes rate and minutes,False,False,False
3,Gabriel dos Santos Magalhães,DEF,174.7987,27.9678,4,226597,Arsenal,a,,2025-26,209.0000,2750.0000,2592.6000,27.5998,1.0000,3.0000,115.0131,59.7856,2025/26 empirical-Bayes rate and minutes,False,False,False
4,Antoine Semenyo,MID,174.1738,27.8678,397,437730,Man City,a,,2025-26,202.0000,3200.0000,2919.6000,27.5011,1.0000,3.0000,125.4383,48.7355,2025/26 empirical-Bayes rate and minutes,False,False,False
5,Igor Thiago Nascimento Rodrigues,FWD,164.1326,26.2612,106,502500,Brentford,a,,2025-26,181.0000,3282.0000,2994.9000,25.7645,1.0000,3.1667,102.1080,62.0246,2025/26 empirical-Bayes rate and minutes,False,False,False
6,Morgan Gibbs-White,MID,163.7029,26.1925,480,222531,Nott'm Forest,a,,2025-26,188.0000,3101.0000,2840.4000,25.8478,1.0000,3.0000,125.4383,38.2646,2025/26 empirical-Bayes rate and minutes,False,False,False
7,Declan Rice,MID,160.8223,25.7316,13,204480,Arsenal,a,,2025-26,184.0000,3093.0000,2834.0000,25.3930,1.0000,3.0000,125.4383,35.3840,2025/26 empirical-Bayes rate and minutes,False,False,False
8,Elliot Anderson,MID,159.1179,25.4589,481,215379,Man City,a,,2025-26,180.0000,3332.0000,3025.2000,25.1239,1.0000,3.0000,125.4383,33.6796,2025/26 empirical-Bayes rate and minutes,False,False,False
9,João Pedro Junqueira de Jesus,FWD,157.9561,25.2730,165,475168,Chelsea,a,,2025-26,177.0000,2658.0000,2495.7000,24.9404,1.0000,3.0000,102.1080,55.8481,2025/26 empirical-Bayes rate and minutes,False,False,False
10,Marc Guéhi,DEF,155.4041,24.8647,388,209036,Man City,a,,2025-26,179.0000,3150.0000,2912.6000,24.5375,1.0000,3.0000,115.0131,40.3910,2025/26 empirical-Bayes rate and minutes,False,False,False
11,Virgil van Dijk,DEF,153.5990,24.5758,356,97032,Liverpool,a,,2025-26,175.0000,3420.0000,3128.6000,24.3939,1.0000,2.8333,115.0131,38.5859,2025/26 empirical-Bayes rate and minutes,False,False,False
12,Marcos Senesi Barón,DEF,153.0924,24.4948,498,221466,Spurs,a,,2025-26,175.0000,3288.0000,3023.0000,24.1725,1.0000,3.0000,115.0131,38.0793,2025/26 empirical-Bayes rate and minutes,False,False,False
